symbol,group_display,n_samples,median_expression,mean_expression,padj,is_significant
AURKA,Normal-like,215,9.509775004326936,9.476072977766773,0.422690482200939,False
AURKA,Abnormal-like,57,9.4757334309664,9.449607592310281,0.422690482200939,False
MYO10,Normal-like,215,7.994353436858858,8.212017886219439,0.0110549182152587,True
MYO10,Abnormal-like,57,8.59245703726808,9.307744166651721,0.0110549182152587,True
PLK1,Normal-like,215,8.20945336562895,8.073728015677561,0.98958559913829,False
PLK1,Abnormal-like,57,8.826548487290914,8.36834045681799,0.98958559913829,False
TWIST2,Normal-like,215,2.584962500721156,2.7620417851366175,0.0458422304464175,True
TWIST2,Abnormal-like,57,3.700439718141092,4.130923274265467,0.0458422304464175,True
